ControlAreaUnitId,ControlArea,StationId,RemoteUnit
1,A002,120,R051
2,A006,123,R079
3,A007,123,R079
4,A010,118,R080
5,A011,118,R080
6,A013,107,R081
7,A014,107,R081
8,A015,107,R081
9,A016,107,R081
10,A021,432,R032
11,A022,91,R022
12,A025,91,R023
13,A027,81,R082
14,A029,81,R082
15,A030,71,R083
16,A031,71,R083
17,A033,29,R170
18,A034,28,R170
19,A035,28,R170
20,A037,28,R170
21,A038,147,R085
22,A039,147,R085
23,A041,401,R086
24,A042,401,R086
25,A043,228,R462
26,A046,228,R463
27,A047,218,R087
28,A050,256,R088
29,A054,408,R227
30,A055,408,R227
31,A058,448,R001
32,A060,448,R001
33,A061,267,R142
34,A064,212,R311
35,A066,228,R118
36,A069,223,R044
37,A071,240,R044
38,A077,299,R002
39,A081,299,R002
40,A082,299,R002
41,A083,217,R125
42,A084,217,R125
43,A085,217,R125
44,B004,132,R171
45,B009,391,R411
46,B010,211,R412
47,B012,404,R196
48,B013,404,R196
49,B014,394,R148
50,B015,245,R098
51,B016,245,R098
52,B017,158,R262
53,B018,255,R184
54,B019,382,R149
55,B020,175,R263
56,B021,177,R228
57,B022,178,R229
58,B023,341,R211
59,B024,341,R211
60,B024A,341,R211
61,B025,181,R150
62,B026,375,R230
63,B027,417,R136
64,B028,417,R136
65,B029,215,R172
66,B031,215,R172
67,B032,389,R264
68,B034,389,R264
69,C001,209,R108
70,C003,335,R089
71,C004,335,R089
72,C008,265,R099
73,C009,174,R057
74,C010,434,R231
75,C011,434,R231
76,C012,99,R258
77,C014,402,R246
78,C015,402,R454
79,C016,80,R278
80,C017,80,R455
81,C018,95,R197
82,C019,103,R232
83,C020,115,R233
84,C021,119,R212
85,C022,119,R212
86,C023,190,R213
87,C024,141,R214
88,C025,152,R215
89,C026,152,R215
90,C027,160,R216
91,C028,160,R216
92,D002,145,R390
93,D003,291,R391
94,D004,291,R391
95,D005,381,R398
96,D006,381,R398
97,D008,52,R392
98,D009,63,R393
99,D010,187,R394
100,D011,187,R394
101,D012,342,R395
102,D015,181,R396
103,D016,152,R397
104,E001,158,R368
105,E003,291,R369
106,E004,110,R234
107,E005,116,R247
108,E009,135,R370
109,E011,143,R371
110,E012,52,R372
111,E013,63,R373
112,E014,187,R374
113,E015,79,R399
114,E016,186,R400
115,G001,254,R151
116,G009,254,R151
117,G011,445,R312
118,G015,445,R312
119,H001,145,R175
120,H003,25,R163
121,H005,84,R330
122,H006,84,R330
123,H007,1,R248
124,H008,1,R248
125,H009,200,R235
126,H012,357,R268
127,H013,305,R249
128,H014,305,R249
129,H015,311,R250
130,H016,311,R250
131,H017,365,R265
132,H019,366,R294
133,H022,337,R279
134,H023,265,R236
135,H026,371,R137
136,H027,371,R137
137,H028,317,R266
138,H030,317,R266
139,H032,450,R295
140,H033,227,R313
141,H035,171,R348
142,H037,429,R349
143,H038,355,R350
144,H039,379,R375
145,H040,275,R376
146,H041,233,R152
147,J001,360,R460
148,J002,360,R460
149,J003,320,R352
150,J005,357,R353
151,J007,284,R377
152,J009,371,R378
153,J012,349,R379
154,J013,304,R380
155,J016,317,R381
156,J017,243,R432
157,J020,164,R433
158,J021,437,R434
159,J022,251,R435
160,J023,385,R436
161,J024,261,R437
162,J025,264,R003
163,J028,140,R004
164,J030,151,R005
165,J031,452,R006
166,J032,452,R006
167,J034,6,R007
168,J035,9,R008
169,J037,16,R009
170,JFK01,323,R535
171,JFK02,323,R535
172,JFK03,332,R536
173,K017,238,R401
174,K019,348,R413
175,K022,416,R402
176,K024,289,R403
177,K025,298,R404
178,K026,363,R100
179,N001,329,R173
180,N002A,329,R173
181,N003,270,R185
182,N006A,60,R280
183,N007A,56,R174
184,N009,56,R174
185,N010,50,R126
186,N011,50,R126
187,N012,44,R035
188,N013,43,R035
189,N016A,40,R296
190,N017,35,R331
191,N019,30,R101
192,N020,30,R101
193,N022,21,R332
194,N023,21,R332
195,N024,21,R332
196,N025,17,R102
197,N026,17,R102
198,N029,12,R333
199,N030,12,R333
200,N034,236,R334
201,N035,236,R334
202,N037,2,R314
203,N039,161,R251
204,N040,161,R251
205,N043,154,R186
206,N044,149,R187
207,N045,149,R187
208,N046,136,R281
209,N049,122,R084
210,N051,121,R084
211,N056,111,R188
212,N057,111,R188
213,N060,102,R010
214,N062,102,R011
215,N062A,102,R010
216,N063,102,R011
217,N063A,102,R011
218,N067,92,R012
219,N068,92,R012
220,N069,92,R013
